qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
NZ_CM001473_00069|MPF_I,"CP082560.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N18S1595 plasmid pN18S1595-1, complete sequence",116,102421,1,116,18624,18968,116,9,91.379,100.0,100.0,plus,2.35e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"CP082560.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N18S1595 plasmid pN18S1595-1, complete sequence",237,102421,1,216,18968,19615,216,2,99.074,91.0,91.0,plus,8.010000000000002e-148,448,mate-pair-formation
NC_019097_00075|MPF_I,"CP082560.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N18S1595 plasmid pN18S1595-1, complete sequence",327,102421,1,327,19671,20651,327,1,99.694,100.0,100.0,plus,0.0,657,mate-pair-formation
NC_015965_00072|MPF_I,"CP082560.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N18S1595 plasmid pN18S1595-1, complete sequence",234,102421,1,234,21946,22647,234,1,99.573,100.0,100.0,plus,6.400000000000001e-158,477,mate-pair-formation
NC_023290_00086|MPF_I,"CP082560.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N18S1595 plasmid pN18S1595-1, complete sequence",175,102421,1,175,22650,23174,175,1,99.429,100.0,100.0,plus,4.82e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"CP082560.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N18S1595 plasmid pN18S1595-1, complete sequence",134,102421,1,126,23228,23605,126,0,100.0,94.0,94.0,plus,3.45e-52,169,mate-pair-formation
NC_022267_00057|MPF_I,"CP082560.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N18S1595 plasmid pN18S1595-1, complete sequence",400,102421,1,400,28383,29582,400,8,98.0,100.0,100.0,plus,0.0,759,mate-pair-formation
NC_019097_00056|MPF_I,"CP082560.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N18S1595 plasmid pN18S1595-1, complete sequence",818,102421,1,754,39985,42246,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"AAJQLH010000017.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA437788 isolate CFSAN018863 SAMN02918510-rid5108753.denovo.17, whole genome shotgun sequence",93,97896,1,93,38410,38502,93,0,100.0,100.0,100.0,plus,8.28e-46,172,oriT
MG764547|IncI-gamma/K1,"AAJQLH010000017.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA437788 isolate CFSAN018863 SAMN02918510-rid5108753.denovo.17, whole genome shotgun sequence",1032,97896,1,1032,80734,81765,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
AY458016|IncFIC,"AAJQLH010000067.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA437788 isolate CFSAN018863 SAMN02918510-rid5108753.guided.55, whole genome shotgun sequence",261,4404,1,261,3540,3801,262,7,96.947,100.0,100.0,minus,2.31e-125,438,replicon
CP042629_00001|IncFIA,"AAJQLH010000067.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA437788 isolate CFSAN018863 SAMN02918510-rid5108753.guided.55, whole genome shotgun sequence",543,4404,1,543,3799,4340,543,43,91.897,100.0,100.0,plus,0.0,758,replicon
NC_019097|MOBP,"AAJQLH010000017.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA437788 isolate CFSAN018863 SAMN02918510-rid5108753.denovo.17, whole genome shotgun sequence",899,97896,1,898,35347,38040,898,50,94.432,99.0,99.0,minus,0.0,1668,relaxase
NC_019097_00085|MPF_I,"AAJQLH010000017.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA437788 isolate CFSAN018863 SAMN02918510-rid5108753.denovo.17, whole genome shotgun sequence",272,97896,1,272,4961,5776,272,0,100.0,100.0,100.0,plus,0.0,550,mate-pair-formation
NZ_CM001473_00069|MPF_I,"AAJQLH010000017.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA437788 isolate CFSAN018863 SAMN02918510-rid5108753.denovo.17, whole genome shotgun sequence",116,97896,1,116,11652,11996,116,9,91.379,100.0,100.0,plus,2.65e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"AAJQLH010000017.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA437788 isolate CFSAN018863 SAMN02918510-rid5108753.denovo.17, whole genome shotgun sequence",237,97896,1,216,11996,12643,216,2,99.074,91.0,91.0,plus,9.02e-148,448,mate-pair-formation
NC_019097_00075|MPF_I,"AAJQLH010000017.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA437788 isolate CFSAN018863 SAMN02918510-rid5108753.denovo.17, whole genome shotgun sequence",327,97896,1,327,12699,13679,327,1,99.694,100.0,100.0,plus,0.0,657,mate-pair-formation
NC_015965_00072|MPF_I,"AAJQLH010000017.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA437788 isolate CFSAN018863 SAMN02918510-rid5108753.denovo.17, whole genome shotgun sequence",234,97896,1,234,14974,15675,234,1,99.573,100.0,100.0,plus,7.200000000000001e-158,477,mate-pair-formation
NC_023290_00086|MPF_I,"AAJQLH010000017.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA437788 isolate CFSAN018863 SAMN02918510-rid5108753.denovo.17, whole genome shotgun sequence",175,97896,1,175,15678,16202,175,1,99.429,100.0,100.0,plus,5.43e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"AAJQLH010000017.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA437788 isolate CFSAN018863 SAMN02918510-rid5108753.denovo.17, whole genome shotgun sequence",134,97896,1,126,16256,16633,126,0,100.0,94.0,94.0,plus,3.88e-52,169,mate-pair-formation
NC_022267_00057|MPF_I,"AAJQLH010000017.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA437788 isolate CFSAN018863 SAMN02918510-rid5108753.denovo.17, whole genome shotgun sequence",400,97896,1,400,21411,22610,400,8,98.0,100.0,100.0,plus,0.0,759,mate-pair-formation
NC_019097_00056|MPF_I,"AAJQLH010000017.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA437788 isolate CFSAN018863 SAMN02918510-rid5108753.denovo.17, whole genome shotgun sequence",818,97896,1,754,33013,35274,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"AAJVPD010000054.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA1030447 C001-001 SAMN12641832-rid8123433.denovo.56, whole genome shotgun sequence",93,6519,1,93,1708,1800,93,0,100.0,100.0,100.0,plus,8.18e-46,172,oriT
MG764547|IncI-gamma/K1,"AAJVPD010000037.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA1030447 C001-001 SAMN12641832-rid8123433.denovo.37, whole genome shotgun sequence",1032,28171,1,1032,11004,12035,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
CP033091_00053|rep_cluster_2244,"AAJVPD010000075.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA1030447 C001-001 SAMN12641832-rid8123433.guided.58, whole genome shotgun sequence",834,6176,1,834,4791,5648,858,0,97.203,100.0,100.0,plus,0.0,1430,replicon
CP042618_00082|MOBP,"AAJVPD010000054.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA1030447 C001-001 SAMN12641832-rid8123433.denovo.56, whole genome shotgun sequence",310,6519,16,244,268,969,234,21,88.889,74.0,95.0,minus,1.33e-140,431,relaxase
CP031283_00205|MOBP,"AAJVPD010000054.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA1030447 C001-001 SAMN12641832-rid8123433.denovo.56, whole genome shotgun sequence",126,6519,1,111,1006,1338,111,3,97.297,88.0,88.0,minus,8.68e-73,228,relaxase
NC_022267_00057|MPF_I,"AAJVPD010000038.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA1030447 C001-001 SAMN12641832-rid8123433.denovo.38, whole genome shotgun sequence",400,27446,1,400,4837,6036,400,8,98.0,100.0,100.0,minus,0.0,759,mate-pair-formation
NC_019111_00038|MPF_I,"AAJVPD010000038.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA1030447 C001-001 SAMN12641832-rid8123433.denovo.38, whole genome shotgun sequence",134,27446,1,126,10814,11191,126,0,100.0,94.0,94.0,minus,3.82e-52,169,mate-pair-formation
NC_023290_00086|MPF_I,"AAJVPD010000038.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA1030447 C001-001 SAMN12641832-rid8123433.denovo.38, whole genome shotgun sequence",175,27446,1,175,11245,11769,175,1,99.429,100.0,100.0,minus,5.3300000000000005e-105,322,mate-pair-formation
NC_015965_00072|MPF_I,"AAJVPD010000038.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA1030447 C001-001 SAMN12641832-rid8123433.denovo.38, whole genome shotgun sequence",234,27446,1,234,11772,12473,234,1,99.573,100.0,100.0,minus,7.05e-158,477,mate-pair-formation
NC_019097_00075|MPF_I,"AAJVPD010000038.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA1030447 C001-001 SAMN12641832-rid8123433.denovo.38, whole genome shotgun sequence",327,27446,1,327,13768,14748,327,1,99.694,100.0,100.0,minus,0.0,657,mate-pair-formation
NC_022267_00069|MPF_I,"AAJVPD010000038.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA1030447 C001-001 SAMN12641832-rid8123433.denovo.38, whole genome shotgun sequence",237,27446,1,216,14804,15451,216,2,99.074,91.0,91.0,minus,8.82e-148,448,mate-pair-formation
NZ_CM001473_00069|MPF_I,"AAJVPD010000038.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA1030447 C001-001 SAMN12641832-rid8123433.denovo.38, whole genome shotgun sequence",116,27446,1,116,15451,15795,116,9,91.379,100.0,100.0,minus,2.6100000000000007e-59,189,mate-pair-formation
NC_019097_00085|MPF_I,"AAJVPD010000038.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA1030447 C001-001 SAMN12641832-rid8123433.denovo.38, whole genome shotgun sequence",272,27446,1,272,21671,22486,272,0,100.0,100.0,100.0,minus,0.0,550,mate-pair-formation
NC_019097_00056|MPF_I,"AAJVPD010000048.1 Salmonella enterica subsp. enterica serovar Kentucky strain FDA1030447 C001-001 SAMN12641832-rid8123433.denovo.49, whole genome shotgun sequence",818,7841,1,754,812,3073,754,9,98.806,92.0,92.0,minus,0.0,1443,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
HM021326|MOBP,"AAKWJM010000019.1 Salmonella enterica subsp. enterica serovar Newport strain CFSAN022632 SAMN03652132-rid5113103.denovo.19, whole genome shotgun sequence",93,66858,1,93,30598,30690,93,0,100.0,100.0,100.0,minus,6.54e-46,172,oriT
KT186369|IncI-gamma/K1,"AAKWJM010000044.1 Salmonella enterica subsp. enterica serovar Newport strain CFSAN022632 SAMN03652132-rid5113103.denovo.44, whole genome shotgun sequence",1032,20419,1,1032,2698,3729,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
NC_019097|MOBP,"AAKWJM010000019.1 Salmonella enterica subsp. enterica serovar Newport strain CFSAN022632 SAMN03652132-rid5113103.denovo.19, whole genome shotgun sequence",899,66858,1,898,31060,33753,898,43,95.212,99.0,99.0,plus,0.0,1684,relaxase
NC_019097_00056|MPF_I,"AAKWJM010000019.1 Salmonella enterica subsp. enterica serovar Newport strain CFSAN022632 SAMN03652132-rid5113103.denovo.19, whole genome shotgun sequence",818,66858,1,754,33826,36087,754,9,98.806,92.0,92.0,minus,0.0,1446,mate-pair-formation
NC_022267_00057|MPF_I,"AAKWJM010000019.1 Salmonella enterica subsp. enterica serovar Newport strain CFSAN022632 SAMN03652132-rid5113103.denovo.19, whole genome shotgun sequence",400,66858,1,400,44256,45455,400,3,99.25,100.0,100.0,minus,0.0,769,mate-pair-formation
NC_019111_00038|MPF_I,"AAKWJM010000019.1 Salmonella enterica subsp. enterica serovar Newport strain CFSAN022632 SAMN03652132-rid5113103.denovo.19, whole genome shotgun sequence",134,66858,1,126,50233,50610,126,5,96.032,94.0,94.0,minus,2.49e-50,164,mate-pair-formation
NC_023290_00086|MPF_I,"AAKWJM010000019.1 Salmonella enterica subsp. enterica serovar Newport strain CFSAN022632 SAMN03652132-rid5113103.denovo.19, whole genome shotgun sequence",175,66858,1,175,50664,51188,175,1,99.429,100.0,100.0,minus,4.2800000000000005e-105,322,mate-pair-formation
NC_015965_00072|MPF_I,"AAKWJM010000019.1 Salmonella enterica subsp. enterica serovar Newport strain CFSAN022632 SAMN03652132-rid5113103.denovo.19, whole genome shotgun sequence",234,66858,1,234,51191,51892,234,1,99.573,100.0,100.0,minus,5.68e-158,477,mate-pair-formation
NC_019097_00075|MPF_I,"AAKWJM010000019.1 Salmonella enterica subsp. enterica serovar Newport strain CFSAN022632 SAMN03652132-rid5113103.denovo.19, whole genome shotgun sequence",327,66858,1,327,53187,54167,327,1,99.694,100.0,100.0,minus,0.0,656,mate-pair-formation
NC_022267_00069|MPF_I,"AAKWJM010000019.1 Salmonella enterica subsp. enterica serovar Newport strain CFSAN022632 SAMN03652132-rid5113103.denovo.19, whole genome shotgun sequence",237,66858,1,216,54223,54870,216,5,97.685,91.0,91.0,minus,1.27e-145,442,mate-pair-formation
NZ_CM001473_00069|MPF_I,"AAKWJM010000019.1 Salmonella enterica subsp. enterica serovar Newport strain CFSAN022632 SAMN03652132-rid5113103.denovo.19, whole genome shotgun sequence",116,66858,1,116,54870,55214,116,9,91.379,100.0,100.0,minus,2.09e-59,189,mate-pair-formation
NC_019097_00085|MPF_I,"AAKWJM010000019.1 Salmonella enterica subsp. enterica serovar Newport strain CFSAN022632 SAMN03652132-rid5113103.denovo.19, whole genome shotgun sequence",272,66858,1,272,61090,61905,272,1,99.632,100.0,100.0,minus,0.0,549,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"AAMLWV010000100.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.101, whole genome shotgun sequence",93,10894,1,93,8747,8839,93,0,100.0,100.0,100.0,plus,4.4299999999999996e-46,172,oriT
MG764547|IncI-gamma/K1,"AAMLWV010000088.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.088, whole genome shotgun sequence",1032,16877,1,1032,3298,4329,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
NC_019097|MOBP,"AAMLWV010000100.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.101, whole genome shotgun sequence",899,10894,1,898,5684,8377,898,50,94.432,99.0,99.0,minus,0.0,1668,relaxase
NC_022267_00057|MPF_I,"AAMLWV010000061.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.061, whole genome shotgun sequence",400,27701,1,400,5096,6295,400,3,99.25,100.0,100.0,minus,0.0,769,mate-pair-formation
NC_019111_00038|MPF_I,"AAMLWV010000061.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.061, whole genome shotgun sequence",134,27701,1,126,11073,11450,126,5,96.032,94.0,94.0,minus,1.69e-50,164,mate-pair-formation
NC_023290_00086|MPF_I,"AAMLWV010000061.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.061, whole genome shotgun sequence",175,27701,1,175,11504,12028,175,1,99.429,100.0,100.0,minus,2.89e-105,322,mate-pair-formation
NC_015965_00072|MPF_I,"AAMLWV010000061.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.061, whole genome shotgun sequence",234,27701,1,234,12031,12732,234,1,99.573,100.0,100.0,minus,3.82e-158,477,mate-pair-formation
NC_019097_00075|MPF_I,"AAMLWV010000061.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.061, whole genome shotgun sequence",327,27701,1,327,14027,15007,327,1,99.694,100.0,100.0,minus,0.0,657,mate-pair-formation
NC_022267_00069|MPF_I,"AAMLWV010000061.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.061, whole genome shotgun sequence",237,27701,1,216,15063,15710,216,2,99.074,91.0,91.0,minus,4.78e-148,448,mate-pair-formation
NZ_CM001473_00069|MPF_I,"AAMLWV010000061.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.061, whole genome shotgun sequence",116,27701,1,116,15710,16054,116,9,91.379,100.0,100.0,minus,1.41e-59,189,mate-pair-formation
NC_019097_00085|MPF_I,"AAMLWV010000061.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.061, whole genome shotgun sequence",272,27701,1,272,21930,22745,272,0,100.0,100.0,100.0,minus,0.0,550,mate-pair-formation
NC_019097_00056|MPF_I,"AAMLWV010000100.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.101, whole genome shotgun sequence",818,10894,1,754,3350,5611,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"JQWG01000025.1 Salmonella enterica strain CRJJGF_00102 SQ0150Contig26, whole genome shotgun sequence",93,40932,1,93,2414,2506,93,0,100.0,100.0,100.0,minus,6.9799999999999995e-46,172,oriT
MG764547|IncI-gamma/K1,"JQWG01000052.1 Salmonella enterica strain CRJJGF_00102 SQ0150Contig65, whole genome shotgun sequence",1032,17521,1,1032,338,1369,1032,1,99.903,100.0,100.0,minus,0.0,1901,replicon
NC_019097|MOBP,"JQWG01000025.1 Salmonella enterica strain CRJJGF_00102 SQ0150Contig26, whole genome shotgun sequence",899,40932,1,898,2876,5569,898,50,94.432,99.0,99.0,plus,0.0,1668,relaxase
NC_019097_00056|MPF_I,"JQWG01000025.1 Salmonella enterica strain CRJJGF_00102 SQ0150Contig26, whole genome shotgun sequence",818,40932,1,754,5642,7903,754,9,98.806,92.0,92.0,minus,0.0,1443,mate-pair-formation
NC_022267_00057|MPF_I,"JQWG01000025.1 Salmonella enterica strain CRJJGF_00102 SQ0150Contig26, whole genome shotgun sequence",400,40932,1,400,18306,19505,400,8,98.0,100.0,100.0,minus,0.0,759,mate-pair-formation
NC_019111_00038|MPF_I,"JQWG01000025.1 Salmonella enterica strain CRJJGF_00102 SQ0150Contig26, whole genome shotgun sequence",134,40932,1,126,24283,24660,126,0,100.0,94.0,94.0,minus,3.27e-52,169,mate-pair-formation
NC_023290_00086|MPF_I,"JQWG01000025.1 Salmonella enterica strain CRJJGF_00102 SQ0150Contig26, whole genome shotgun sequence",175,40932,1,175,24714,25238,175,1,99.429,100.0,100.0,minus,4.57e-105,322,mate-pair-formation
NC_015965_00072|MPF_I,"JQWG01000025.1 Salmonella enterica strain CRJJGF_00102 SQ0150Contig26, whole genome shotgun sequence",234,40932,1,234,25241,25942,234,1,99.573,100.0,100.0,minus,6.05e-158,477,mate-pair-formation
NC_019097_00075|MPF_I,"JQWG01000025.1 Salmonella enterica strain CRJJGF_00102 SQ0150Contig26, whole genome shotgun sequence",327,40932,1,327,27237,28217,327,1,99.694,100.0,100.0,minus,0.0,657,mate-pair-formation
NC_022267_00069|MPF_I,"JQWG01000025.1 Salmonella enterica strain CRJJGF_00102 SQ0150Contig26, whole genome shotgun sequence",237,40932,1,216,28273,28920,216,2,99.074,91.0,91.0,minus,7.570000000000002e-148,448,mate-pair-formation
NZ_CM001473_00069|MPF_I,"JQWG01000025.1 Salmonella enterica strain CRJJGF_00102 SQ0150Contig26, whole genome shotgun sequence",116,40932,1,116,28920,29264,116,9,91.379,100.0,100.0,minus,2.23e-59,189,mate-pair-formation
NC_019097_00085|MPF_I,"JQWG01000025.1 Salmonella enterica strain CRJJGF_00102 SQ0150Contig26, whole genome shotgun sequence",272,40932,1,272,35140,35955,272,0,100.0,100.0,100.0,minus,0.0,550,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"AANWXA010000023.1 Salmonella enterica subsp. enterica serovar Typhimurium strain 19MD12GT08-S SAMN13842006-rid8889213.denovo.023, whole genome shotgun sequence",93,73000,1,93,38410,38502,93,0,100.0,100.0,100.0,plus,1.19e-45,172,oriT
MG764547|IncI-gamma/K1,"AANWXA010000056.1 Salmonella enterica subsp. enterica serovar Typhimurium strain 19MD12GT08-S SAMN13842006-rid8889213.denovo.056, whole genome shotgun sequence",1032,22321,1,1032,5154,6185,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
NC_019097|MOBP,"AANWXA010000023.1 Salmonella enterica subsp. enterica serovar Typhimurium strain 19MD12GT08-S SAMN13842006-rid8889213.denovo.023, whole genome shotgun sequence",899,73000,1,898,35347,38040,898,50,94.432,99.0,99.0,minus,0.0,1668,relaxase
NC_019097_00085|MPF_I,"AANWXA010000023.1 Salmonella enterica subsp. enterica serovar Typhimurium strain 19MD12GT08-S SAMN13842006-rid8889213.denovo.023, whole genome shotgun sequence",272,73000,1,272,4961,5776,272,0,100.0,100.0,100.0,plus,0.0,550,mate-pair-formation
NZ_CM001473_00069|MPF_I,"AANWXA010000023.1 Salmonella enterica subsp. enterica serovar Typhimurium strain 19MD12GT08-S SAMN13842006-rid8889213.denovo.023, whole genome shotgun sequence",116,73000,1,116,11652,11996,116,9,91.379,100.0,100.0,plus,3.85e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"AANWXA010000023.1 Salmonella enterica subsp. enterica serovar Typhimurium strain 19MD12GT08-S SAMN13842006-rid8889213.denovo.023, whole genome shotgun sequence",237,73000,1,216,11996,12643,216,2,99.074,91.0,91.0,plus,1.31e-147,448,mate-pair-formation
NC_019097_00075|MPF_I,"AANWXA010000023.1 Salmonella enterica subsp. enterica serovar Typhimurium strain 19MD12GT08-S SAMN13842006-rid8889213.denovo.023, whole genome shotgun sequence",327,73000,1,327,12699,13679,327,1,99.694,100.0,100.0,plus,0.0,657,mate-pair-formation
NC_015965_00072|MPF_I,"AANWXA010000023.1 Salmonella enterica subsp. enterica serovar Typhimurium strain 19MD12GT08-S SAMN13842006-rid8889213.denovo.023, whole genome shotgun sequence",234,73000,1,234,14974,15675,234,1,99.573,100.0,100.0,plus,1.05e-157,477,mate-pair-formation
NC_023290_00086|MPF_I,"AANWXA010000023.1 Salmonella enterica subsp. enterica serovar Typhimurium strain 19MD12GT08-S SAMN13842006-rid8889213.denovo.023, whole genome shotgun sequence",175,73000,1,175,15678,16202,175,1,99.429,100.0,100.0,plus,7.900000000000001e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"AANWXA010000023.1 Salmonella enterica subsp. enterica serovar Typhimurium strain 19MD12GT08-S SAMN13842006-rid8889213.denovo.023, whole genome shotgun sequence",134,73000,1,126,16256,16633,126,0,100.0,94.0,94.0,plus,5.65e-52,169,mate-pair-formation
NC_022267_00057|MPF_I,"AANWXA010000023.1 Salmonella enterica subsp. enterica serovar Typhimurium strain 19MD12GT08-S SAMN13842006-rid8889213.denovo.023, whole genome shotgun sequence",400,73000,1,400,21411,22610,400,8,98.0,100.0,100.0,plus,0.0,759,mate-pair-formation
NC_019097_00056|MPF_I,"AANWXA010000023.1 Salmonella enterica subsp. enterica serovar Typhimurium strain 19MD12GT08-S SAMN13842006-rid8889213.denovo.023, whole genome shotgun sequence",818,73000,1,754,33013,35274,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"AAWBYX010000026.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N19S2185 SAMN14755108-rid9771143.denovo.26, whole genome shotgun sequence",93,73002,1,93,38406,38498,93,0,100.0,100.0,100.0,plus,7.64e-46,172,oriT
NC_019097|MOBP,"AAWBYX010000026.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N19S2185 SAMN14755108-rid9771143.denovo.26, whole genome shotgun sequence",899,73002,1,898,35343,38036,898,51,94.321,99.0,99.0,minus,0.0,1668,relaxase
NC_019097_00085|MPF_I,"AAWBYX010000026.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N19S2185 SAMN14755108-rid9771143.denovo.26, whole genome shotgun sequence",272,73002,1,272,4957,5772,272,0,100.0,100.0,100.0,plus,0.0,550,mate-pair-formation
NZ_CM001473_00069|MPF_I,"AAWBYX010000026.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N19S2185 SAMN14755108-rid9771143.denovo.26, whole genome shotgun sequence",116,73002,1,116,11648,11992,116,9,91.379,100.0,100.0,plus,2.44e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"AAWBYX010000026.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N19S2185 SAMN14755108-rid9771143.denovo.26, whole genome shotgun sequence",237,73002,1,216,11992,12639,216,2,99.074,91.0,91.0,plus,8.31e-148,448,mate-pair-formation
NC_019097_00075|MPF_I,"AAWBYX010000026.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N19S2185 SAMN14755108-rid9771143.denovo.26, whole genome shotgun sequence",327,73002,1,327,12695,13675,327,1,99.694,100.0,100.0,plus,0.0,657,mate-pair-formation
NC_015965_00072|MPF_I,"AAWBYX010000026.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N19S2185 SAMN14755108-rid9771143.denovo.26, whole genome shotgun sequence",234,73002,1,234,14970,15671,234,1,99.573,100.0,100.0,plus,6.6399999999999996e-158,477,mate-pair-formation
NC_023290_00086|MPF_I,"AAWBYX010000026.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N19S2185 SAMN14755108-rid9771143.denovo.26, whole genome shotgun sequence",175,73002,1,175,15674,16198,175,1,99.429,100.0,100.0,plus,5.01e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"AAWBYX010000026.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N19S2185 SAMN14755108-rid9771143.denovo.26, whole genome shotgun sequence",134,73002,1,126,16252,16629,126,0,100.0,94.0,94.0,plus,3.58e-52,169,mate-pair-formation
NC_022267_00057|MPF_I,"AAWBYX010000026.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N19S2185 SAMN14755108-rid9771143.denovo.26, whole genome shotgun sequence",400,73002,1,400,21407,22606,400,8,98.0,100.0,100.0,plus,0.0,759,mate-pair-formation
